Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,0,,,,,0,,,,,,,,,,,,,,,,,,
,TAUPE (22474),,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
030-T,,,,HATS,,,,S SKIN,,,,NO SEASON,,,,,s/skin/material hats,,,,,,,,,,0.00,59.99
,,,M,,L,XL,2XL,,Total,,,,,,,,,,,,,,,,,,,
,BLACK/BRISSA (40944),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,,,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,NAVY (35576),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,1,0,,1,,,,,,,,,,,,,,,,,,,
,OLIVE (35591),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,1,0,,1,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
034,,,,HATS,,,,S SKIN,,,,NO SEASON,,,,,SHEEPSKIN HAT,,,,,,,,,,0.00,59.99
,,,S/M,,L/XL,Total,,,,,,,,,,,,,,,,,,,,,,
,BLACK (36999),,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,18,,23,41,,,,,,,,,,,,,,,,,,,,,,
,BROWN (37002),,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,5,,2,7,,,,,,,,,,,,,,,,,,,,,,
,MID BROWN (37005),,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,SOL,,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,14,14,,,,,,,,,,,,,,,,,,,,,,
,Total,,23,,39,62,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
035K,,,,ACCESSORIES,,,,HAT + SCARF,,,,NO SEASON,,,,,TRAPPER SHEEPSKIN HAT,,,,,,,,,,0.00,99.00
,,,M,,L,XL,Total,,,,,,,,,,,,,,,,,,,,,
,BLK/BLK (40728),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,BRN/WHITE (40743),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,1,2,3,,,,,,,,,,,,,,,,,,,,,
,TOBACCO (40758),,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,2,2,4,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
041K,,,,HATS,,,,S SKIN,,,,NO SEASON,,,,,s/skin helmet hat,,,,,,,,,,0.00,140.00
,,,M,,L,XL,2XL,,Total,,,,,,,,,,,,,,,,,,,
,BLACK (35625),,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,2,0,,,3,,,,,,,,,,,,,,,,,,,
,BRN/CREAM (35610),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,5,,2,5,0,,12,,,,,,,,,,,,,,,,,,,
,BRN/WHITE (40698),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,1,,,1,,,,,,,,,,,,,,,,,,,
,,WEB,0,,1,2,,,3,,,,,,,,,,,,,,,,,,,
,GINGER (40713),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,Total,,6,,5,8,0,,19,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
045,,,,LADIES JACKETS,,,,LEATHER JACKETS,,,,NO SEASON,,,,,3/4 JACKET SHEEP,,,,,,,,,,75.00,206.89
,,,8,,10,12,16,,18,20,22,,Total,,,,,,,,,,,,,,,
,BLACK/NAP (4119),,0,,0,,0,,,,0,,0,,,,,,,,,,,,,,,
,,Fen,,,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
,,ITOH,,,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
,,WEB,,,,0,,,0,0,0,,0,,,,,,,,,,,,,,,
,BORDUEX/NAP (4131),Fen,,,,,,,,,0,,0,,,,,,,,,,,,,,,
,,ITOH,,,,,,,,,0,,0,,,,,,,,,,,,,,,
,,WEB,,,,,,,,,0,,0,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
0479,,,,LADIES JEANS,,,,LEATHER JEANS,,,,NO SEASON,,,,,APACHI TROUSERS,,,,,,,,,,0.00,110.00
,,,8,,10,12,14,,Total,,,,,,,,,,,,,,,,,,,
,BURGANDY (36327),,0,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,1,,,1,,,,,,,,,,,,,,,,,,,
,LILAC (36339),Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,1,1,,4,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,2,1,,5,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
04K,,,,HATS,,,,S SKIN,,,,NO SEASON,,,,,grandfather s/skin hat,,,,,,,,,,0.00,99.99
,,,M,,L,XL,2XL,,Total,,,,,,,,,,,,,,,,,,,
,BLACK (35700),,1,,1,0,0,,2,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,0,,1,0,0,,1,,,,,,,,,,,,,,,,,,,
,BROWN (35715),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,TAN/BRN (40838),,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,2,0,,,3,,,,,,,,,,,,,,,,,,,
,Total,,2,,4,0,0,,6,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
055,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies glove,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,SHIRAZ (28834),,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,TAUPE (28838),,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
090,,,,COLLARS,,,,COLLARS,,,,NO SEASON,,,,,FOX COLLAR,,,,,,,,,,250.00,875.00
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,FROST NATURAL (13283),Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
10157,,,,LADIES JACKETS,,,,LEATHER JACKETS,,,,NO SEASON,,,,,2 BUTTON BLAZER,,,,,,,,,,63.00,199.83
,,,8,,10,12,14,,16,18,20,,22,,24,Total,,,,,,,,,,,,
,BLACK (20804),,,,,0,0,,,,,,,,,0,,,,,,,,,,,,
,,Ash,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,Fen,,,,,,,,,0,,,,,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,SOL,0,,1,0,0,,0,1,0,,1,,1,4,,,,,,,,,,,,
,,WEB,0,,1,0,0,,2,2,1,,3,,0,9,,,,,,,,,,,,
,GREY (55149),Ash,,,0,0,0,,0,0,,,,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,0,,,,,,,,,,,,
,,SOL,1,,1,1,1,,1,1,0,,,,,6,,,,,,,,,,,,
,,WEB,1,,2,1,5,,3,1,1,,1,,0,15,,,,,,,,,,,,
,NAVY (15831),,,,0,0,0,,0,0,0,,,,,0,,,,,,,,,,,,
,,Ash,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,0,,,,,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,0,,,,,,,,,,,,
,,SOL,1,,0,0,1,,1,1,,,,,,4,,,,,,,,,,,,
,,WEB,2,,0,2,2,,2,1,1,,2,,0,12,,,,,,,,,,,,
,OXBLOOD (51094),,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,Ash,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,WEB,4,,0,0,0,,2,2,4,,3,,3,18,,,,,,,,,,,,
,TAN (55161),Ash,0,,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,
,,WEB,0,,1,1,0,,0,1,1,,1,,1,6,,,,,,,,,,,,
,TAUPE (51106),,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,Ash,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,WEB,2,,1,2,1,,3,1,0,,0,,2,12,,,,,,,,,,,,
,Total,,11,,7,7,10,,14,11,8,,11,,7,86,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
102,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,LADIES GLOVES,,,,,,,,,,10.95,19.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,BLACK/CREAM (2805),,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,BLACK/GRN (22558),,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,,,0,,,,,,,,,,,,,,,,,,,,,
,BLACK/RED (2819),,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,RED/BLACK (2847),ITOH,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
103 F,,,,HATS,,,,S SKIN,,,,NO SEASON,,,,,ladies s/skin hat,,,,,,,,,,0.00,140.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,TAN (35608),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,Total,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
103-A,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies glove,,,,,,,,,,0.00,34.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,BLACK (28858),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Ash,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,0,0,2,,,,,,,,,,,,,,,,,,,,,
,BROWN (28862),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,
,Total,,3,,0,1,4,,,,,,,,,,,,,,,,,,,,,
