Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,,WEB,13,,13,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49344),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,309,,309,,,,,,,,,,,,,,,,,,,,,,,
,rasberry sorbet (49345),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,RED (54038),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,ROSE (49346),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,snake (54040),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,29,,29,,,,,,,,,,,,,,,,,,,,,,,
,sodalite blue (49347),,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,TAN (54039),,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,225,,225,,,,,,,,,,,,,,,,,,,,,,,
,WINE (54041),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1945,,1945,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63754,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,tote bag,,,,,,,,,,0.00,129.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49294),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,160,,160,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49293),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,335,,335,,,,,,,,,,,,,,,,,,,,,,,
,deep lake (49295),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,MANDARIN (49296),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,ochre yellow (49297),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49298),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,rasberry sorbet (49299),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,ROSE (49300),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,sodalite blue (49301),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,495,,495,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63786,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag debernams,,,,,,,,,,15.50,88.57
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (54267),ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN (44736),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63786 croc,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLK/CROC (45072),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,GREEN/CROC (45073),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN/CROC (45074),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,55,,55,,,,,,,,,,,,,,,,,,,,,,,
,Total,,55,,55,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63787,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,63787,,,,,,,,,,11.75,100.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (44740),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN (44743),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,29,,29,,,,,,,,,,,,,,,,,,,,,,,
,Total,,29,,29,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63787 croc,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag,,,,,,,,,,0.00,100.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLK/CROC (45075),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,16,,16,,,,,,,,,,,,,,,,,,,,,,,
,GREEN/CROC (45076),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN/CROC (45077),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,16,,16,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63788,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag debenams,,,,,,,,,,12.85,100.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (44745),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN (44748),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63788 croc,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag,,,,,,,,,,0.00,80.71
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLK/CROC (45078),,7,,7,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN/CROC (45080),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,Total,,10,,10,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63789,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag debenams,,,,,,,,,,14.05,120.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (44750),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN (44753),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63789 croc,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag,,,,,,,,,,0.00,64.99
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLK/CROC (45081),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-6,,-6,,,,,,,,,,,,,,,,,,,,,,,
,GREEN/CROC (45082),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN/CROC (45083),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,
,Total,,-3,,-3,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63790,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag debenams,,,,,,,,,,13.75,100.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (44755),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,45,,45,,,,,,,,,,,,,,,,,,,,,,,
,TAN (44758),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,50,,50,,,,,,,,,,,,,,,,,,,,,,,
,Total,,95,,95,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63790 croc,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag,,,,,,,,,,0.00,100.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLK/CROC (45084),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,GREEN/CROC (45085),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN/CROC (45086),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,100,,100,,,,,,,,,,,,,,,,,,,,,,,
,Total,,100,,100,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63791,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,63791,,,,,,,,,,13.50,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (44760),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,
,TAN (44763),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63791 croc,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,handbag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLK/CROC (45090),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,GREEN/CROC (45091),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,TAN/CROC (45092),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63858,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,flapover quilted,,,,,,,,,,0.00,149.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49326),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,8,,8,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49327),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,39,,39,,,,,,,,,,,,,,,,,,,,,,,
,ICE GREY (49328),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,90,,90,,,,,,,,,,,,,,,,,,,,,,,
,Total,,148,,148,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
63931,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,multi utility crossbody bag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (53469),,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,351,,351,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (53470),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,6,,6,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,244,,244,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49283),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,298,,298,,,,,,,,,,,,,,,,,,,,,,,
,ochre yellow (49284),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49285),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,109,,109,,,,,,,,,,,,,,,,,,,,,,,
,rasberry sorbet (49286),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,sodalite blue (49287),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1021,,1021,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64033,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,side bag with loop,,,,,,,,,,0.00,61.91
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49329),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (53103),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,838,,838,,,,,,,,,,,,,,,,,,,,,,,
,COGNAC (45559),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49330),,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,8,,8,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,338,,338,,,,,,,,,,,,,,,,,,,,,,,
,deep lake (49331),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,38,,38,,,,,,,,,,,,,,,,,,,,,,,
,ever green (45566),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,GLOME BLUE (45561),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,ICE GREY (49332),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,61,,61,,,,,,,,,,,,,,,,,,,,,,,
,KHAKI (45926),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,light wine (49333),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,ochre yellow (49334),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49335),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,RASPBERRY (53472),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,115,,115,,,,,,,,,,,,,,,,,,,,,,,
,ROSE (49337),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,68,,68,,,,,,,,,,,,,,,,,,,,,,,
,sodalite blue (49338),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,19,,19,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,86,,86,,,,,,,,,,,,,,,,,,,,,,,
,TAN (45563),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-3,,-3,,,,,,,,,,,,,,,,,,,,,,,
,TOFFEE (45564),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1586,,1586,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64064,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,grab and crossbody bag,,,,,,,,,,0.00,129.00
